OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036GR,2026-08-17T07:38:12.080832,15.19897029,.0000942,74.0550,355.0646,93.8777,292.9857,0,U,34006,999,92398,.22343826E-2,.48284E-3,0
COSMOS 2251 DEB,1993-036GS,2026-08-17T09:34:38.887680,14.66433439,.00477174,74.0149,229.4202,300.2193,59.4255,0,U,34007,999,92708,.32353649E-3,.1788E-4,0
COSMOS 2251 DEB,1993-036GT,2026-08-17T06:46:55.212672,14.33285826,.00233411,74.0314,238.0705,179.5992,193.1676,0,U,34008,999,91511,.46559385E-4,.102E-5,0
COSMOS 2251 DEB,1993-036GU,2026-08-17T01:17:29.188320,14.33388700,.00288845,74.0343,244.9162,257.6305,133.1141,0,U,34009,999,91489,.55126981E-4,.126E-5,0
COSMOS 2251 DEB,1993-036GW,2026-08-17T00:14:58.595424,14.42892734,.00402017,74.0105,230.8093,259.4314,100.2313,0,U,34011,999,91481,.38241751E-3,.1263E-4,0
COSMOS 2251 DEB,1993-036GZ,2026-08-17T06:56:20.590944,14.75680395,.00396433,74.0156,156.6509,235.1640,283.7027,0,U,34014,999,92952,.35097971E-3,.2395E-4,0
COSMOS 2251 DEB,1993-036HA,2026-08-17T11:19:05.373408,14.61883929,.00210103,74.0225,45.4952,80.6859,308.6532,0,U,34015,999,92149,.48645635E-3,.2411E-4,0
COSMOS 2251 DEB,1993-036HD,2026-08-17T10:12:08.895744,13.81349637,.02652285,73.8770,32.2187,22.4147,6.4604,0,U,34018,999,88077,.11823609E-3,.141E-5,0
COSMOS 2251 DEB,1993-036HE,2026-08-17T05:12:35.923680,14.34792607,.00600123,73.9538,315.2499,78.1406,310.7688,0,U,34019,999,91069,.28426606E-3,.797E-5,0
COSMOS 2251 DEB,1993-036HG,2026-08-17T10:47:32.646624,14.50628459,.00194276,74.0360,24.4112,105.9427,284.9685,0,U,34021,999,92221,.18900959E-3,.716E-5,0
COSMOS 2251 DEB,1993-036HH,2026-08-17T13:18:56.079072,14.39257544,.00225018,74.0541,174.0412,184.2842,295.5505,0,U,34022,999,91760,.99282345E-4,.283E-5,0
COSMOS 2251 DEB,1993-036HJ,2026-08-17T11:44:31.154208,14.41002161,.00191087,74.0253,153.0511,196.6435,283.2435,0,U,34023,999,91782,.15873614E-3,.485E-5,0
COSMOS 2251 DEB,1993-036HK,2026-08-17T10:19:46.749216,14.35622149,.00221117,74.0440,221.9167,219.1143,292.2848,0,U,34024,999,91578,.77525871E-4,.198E-5,0
COSMOS 2251 DEB,1993-036HM,2026-08-17T14:41:03.407136,13.65759036,.03448933,73.7664,284.9751,116.4517,33.2514,0,U,34026,999,86915,.24213769E-3,.277E-5,0
COSMOS 2251 DEB,1993-036HP,2026-08-17T06:42:16.851744,13.20816145,.05447508,73.8845,327.6212,63.7683,330.5679,0,U,34028,999,84276,-.5850355E-5,-.22E-6,0
